Name,Price,District,Street,Czynsz,Area,Rooms,Building,Owner
"salon z aneksem + 2 sypialnie, garaż, balkon 10m2",3 700,Dąbrówka Szlachecka,ul. Dionizosa,0,"51,16",3,apartamentowiec,biuro nieruchomości
Ładne METRO Bemowo/10 min do Centrum -bezpośrednio,4 700,Bemowo,,900,85,3,apartamentowiec,prywatny
"Wynajmę mieszkanie, 41m2 Warszawa Powiśle",2 800,Powiśle,ul. Górnośląska 2,617,41,2,blok,prywatny
do wynajęcia lokal na mieszkanie,5 900,Śródmieście,,0,135,3,kamienica,prywatny
"Speak Ukr, Rus,Eng|Od zaraz |Parking w cenie",6 000,mazowieckie,,900,78,4,apartamentowiec,biuro nieruchomości
"NOWE, Właściciel, Apartament 41 m, Mokotów",4 500,Mokotów,ul. Domaniewska 26,1,41,2,blok,prywatny
Dwupokojowy apartament dla pierwszego lokatora,5 500,Wola,ul. Grzybowska,0,54,2,apartamentowiec,biuro nieruchomości
"Mieszkanie 2 pokoje, 44m2, Tarchomin, Odkryta",2 500,Nowodwory,ul. Odkryta,750,44,2,blok,prywatny
Apartament dwupokojowy z garażem przy Arkadii,4 600,Centrum,ul. Kłopot,800,52,2,apartamentowiec,biuro nieruchomości
"mieszkanie 50m, 2 pokoje, klimatyzacja",3 300,Ursus,ul. Skoroszewska 11,700,50,2,blok,prywatny
Nowa kawalerka na Powiślu,2 100,Powiśle,ul. Górnośląska,375,18,1,kamienica,prywatny
Warszawa-Falenica Mieszkanie 45m2 + balkon!,2 800,Falenica,,0,45,2,blok,prywatny
"Nowoczesne, umeblowane, dostępne od kwietnia.",3 550,Ursus,ul. Posag 7 Panien,0,"63,33",3,apartamentowiec,biuro nieruchomości
Mieszkanie 2 pokojowe do wynajęcia,3 400,Wola,,650,45,2,apartamentowiec,prywatny
"2-pokojowe, słoneczne mieszkanie z balkonem",2 400,Wola,ul. Mroczna,664,42,2,blok,biuro nieruchomości
"Apartament 3 pokojowy, 60 m2, klima, wys 3m, duży",5 700,Ochota,ul. Włodarzewska,950,60,3,Zapytaj,biuro nieruchomości
"2-pokojowe, bezpośrednio 40m2 Włochy",3 500,Włochy,,500,39,2,apartamentowiec,prywatny
LUX Apartament Miasteczko Wilanów 3 pokoje Ogródek,5 590,Wilanów,ul. Adama Branickiego,750,63,3,apartamentowiec,prywatny
"Mieszkanie, 56 m², Warszawa",3 000,Ursynów,,1 000,56,3,blok,prywatny
"Mieszkanie 55m2, 2pok, balkon CENTRUM LUX LUX",3 800,Śródmieście,ul. Wilcza,0,55,2,blok,biuro nieruchomości
"Jasne, dwupokojowe z aneksem, Praga Północ",2 500,Praga-Północ,ul. Józefa Szanajcy,700,37,2,blok,prywatny
"Słoneczne z dużym balkonem, 3 pokoje, metro!",4 300,Bemowo,ul. gen. Tadeusza Pełczyńskiego 19,975,76,3,apartamentowiec,prywatny
Metro|Spokojna Okolica|Jasne,1 700,Targówek,ul. Suwalska,400,25,1,Zapytaj,biuro nieruchomości
"Mieszkanie Port Praski 2 pokoje z balkonem, 32,4 m",4 500,Praga-Północ,ul. Józefa Sierakowskiego,500,"32,4",2,apartamentowiec,prywatny
"3 pokojowe, ul. Leszno 8, 63m2",4 200,Wola,,1 100,63,3,apartamentowiec,prywatny
"100% wyposażone, po kapitalnym remoncie, Jelonki",3 000,Bemowo,ul. Borowej Góry,489,30,2,blok,prywatny
Penthouse na Mokotowie zapraszamy na wizytę Online,13 000,Mokotów,ul. Łowicka,0,140,4,apartamentowiec,biuro nieruchomości
Idealne mieszkanie na wynajem,7 000,Mokotów,,1 200,120,4,Zapytaj,biuro nieruchomości
Luksusowy apartament na wynajem | G. Mokotów,8 500,Górny Mokotów,,700,66,3,Zapytaj,biuro nieruchomości
Apartament na górnym Mokotowie do wynajęcia,5 700,Górny Mokotów,,1 200,124,3,Zapytaj,biuro nieruchomości
Luksusowy apartament w ścisłym centrum,16 500,Śródmieście,ul. Piękna,0,110,3,apartamentowiec,biuro nieruchomości
Luksusowy apartament przy Parku Morskie Oko,16 000,Dolny Mokotów,ul. Belwederska,0,180,4,apartamentowiec,biuro nieruchomości
"M-3, 61M2 Po Gen. Remoncie, Centrum, Ul. Złota",5 500,Śródmieście,,0,61,3,kamienica,biuro nieruchomości
"Czynsz W Cenie, 2 Pokoje, Balkon, Bliska Wola",3 500,Wola,ul. Giełdowa,0,"41,53",2,Zapytaj,biuro nieruchomości
Dwupokojowe mieszkanie 44 mkw ul. L. Mycielskiego,3 200,Praga-Południe,ul. Ludwika Mycielskiego,0,44,2,blok,biuro nieruchomości
Mieszkanie do wynajęcia Miasteczko Wilanów,3 500,Wilanów,ul. Franciszka Klimczaka,600,56,2,Zapytaj,biuro nieruchomości
Przytulne 2 pokoje na wynajem | Miasteczko Wilanów,3 500,Wilanów,ul. Prymasa Augusta Hlonda,760,47,2,apartamentowiec,biuro nieruchomości
Penthouse na Ochocie blisko dw. Zachodniego,4 900,Ochota,ul. Juliana Ursyna Niemcewicza,1 100,64,2,blok,biuro nieruchomości
Śródmieście / metro Centrum/ 3-pokoje,5 300,Śródmieście,ul. Antoniego Grabowskiego,800,"59,23",3,blok,biuro nieruchomości
Balkon / 2 sypialnie / Garaż,6 000,Włochy,,1 250,80,3,apartamentowiec,biuro nieruchomości
Kabaty | 3 sypialnie | Po remoncie | Przy lesie,7 500,Kabaty,ul. Polnej Róży,0,"104,7",4,blok,biuro nieruchomości
40m2 | 2 pokoje | Luksusowe | Mokotów | Garaż,4 900,Mokotów,ul. Mariana Zdziechowskiego,0,40,2,apartamentowiec,biuro nieruchomości
** 2 komfortowe pokoje  - Osiedle Ursynovia **,3 500,Ursynów,ul. Wacława Lachmana,600,50,2,apartamentowiec,biuro nieruchomości
Apartament w okolicy Nowego Światu,11 500,Śródmieście,ul. Krzysztofa Kamila Baczyńskiego,0,92,3,apartamentowiec,biuro nieruchomości
Mieszkanie 60m2 z dużym ogrodem. Metro Racławicka.,5 000,Mokotów,ul. Balladyny,600,60,2,blok,prywatny
"2 pokoje,60m2,Praga Północ, ul. Grajewska / LUX",4 500,Praga-Północ,ul. Grajewska,0,60,2,kamienica,biuro nieruchomości
"Mieszkanie 43 m2, 2 pok. Saska Kępa Warszawa",2 600,Saska Kępa,ul. Rapperswilska,650,43,2,blok,biuro nieruchomości
Apartament Varsovia 38m2 Wola Kasprzaka,4 300,Wola,ul. Marcina Kasprzaka,1 200,38,2,apartamentowiec,prywatny
Nowe mieszkanie do wynajęcia na Mokotowie,7 500,Mokotów,,785,75,3,apartamentowiec,biuro nieruchomości
"Ursynów, super lokalizacja , ochrona, widok",2 650,Ursynów,ul. rtm. Witolda Pileckiego,0,41,1,apartamentowiec,prywatny
Wynajem 39m2 po remoncie Dolny Mokotów,2 800,Dolny Mokotów,,300,39,2,blok,prywatny
Kawalerka ul Słowackiego stacja metra Marymont,2 800,Stary Żoliborz,,450,28,1,blok,prywatny
"2 pokoje,ul. Dzieci Warszawy 28, Ursus,",2 300,Skorosze,,0,38,2,apartamentowiec,biuro nieruchomości
Wynajmę mieszkanie 2 pokoje Mokotów,3 400,Mokotów,ul. Białej Floty,500,34,2,blok,prywatny
2 pokojowe mieszkanie na Bielanach,3 500,Bielany,ul. Zbigniewa Romaszewskiego,0,44,2,apartamentowiec,biuro nieruchomości
Warecka Residence&Prestige&City&Security 24/7,11 500,Śródmieście,ul. Krzysztofa Kamila Baczyńskiego,0,"92,1",3,apartamentowiec,biuro nieruchomości
Piekny Apartament przy Łazienkach,6 500,Centrum,ul. Tadeusza Boya-Żeleńskiego,0,72,3,apartamentowiec,prywatny
"Bezpośrednio, 3 pokoje, metro Stokłosy, Ursynów",3 900,Ursynów,ul. Pasaż Ursynowski,0,60,3,apartamentowiec,prywatny
Wilanów | 2 pokoje | Czynsz i garaż w cenie | Eng,4 000,Wilanów,,0,44,2,Zapytaj,biuro nieruchomości
Dwupokojowe mieszkanie na Woli z parkingiem,4 500,Wola,ul. Sokołowska,0,50,2,apartamentowiec,biuro nieruchomości
dlaPierwszychnajemców/Garaż/Balkon-6m2/Ciche/odJuż,2 150,Rakowiec,,0,30,1,apartamentowiec,biuro nieruchomości
"Włochy ul. Światowa , 1 pok. 37,84 m, parking nazi",2 800,Włochy,ul. Światowa,0,"37,84",1,dom wolnostojący,biuro nieruchomości
Nowoczesny apartament na Bielanach,4 700,Młociny,ul. Sokratesa,800,69,3,apartamentowiec,prywatny
Apartament na X piętrze z piękną panoramą,5 000,Mokotów,ul. Bełdan,780,48,3,blok,prywatny
Mieszkanie 48m2 Warszawa Wola Ożarowska,3 700,Koło,ul. Ożarowska,470,48,2,Zapytaj,prywatny
"3 pokojowe z balkonem blisko metra, 2 piętro",2 199,Bemowo,,1 042,"56,5",3,blok,prywatny
"Mieszkanie, 38,60 m², Warszawa",2 800,Mokotów,ul. Jana Maklakiewicza,0,"38,6",2,blok,biuro nieruchomości
"47 m2,nowe,balkon,Bartycka,Siekierki,Dolny Mokotów",3 700,Dolny Mokotów,ul. Bartycka,800,47,2,blok,prywatny
Apartament 4 pokoje z tarasem w centrum miasta,9 300,Mirów,"al. Aleja ""Solidarności""",1 200,83,4,apartamentowiec,biuro nieruchomości
"Włochy, ul. Światowa, parter ogródek parking nazi",4 000,Włochy,ul. Światowa,0,48,3,dom wolnostojący,biuro nieruchomości
Jasne mieszkanie 31m² w okolicy Galerii Mokotów,2 600,Mokotów,"Służew, Modzelewskiego",500,31,2,blok,prywatny
"Nowe studio, zamknięte osiedle, duży taras",2 500,Białołęka,ul. Geodezyjna,420,25,1,apartamentowiec,prywatny
3 pok. apartament 64 m2 Praga Południe Grochowska,4 999,Praga-Południe,,800,64,3,apartamentowiec,biuro nieruchomości
Nieruchomość Idealna Na Biuro 113 m2=>Grzybowska 4,9 500,Śródmieście,,1 700,113,4,apartamentowiec,biuro nieruchomości
Doskonały Lokal Na Biuro 54m2=>Centrum Grzybowska4,4 500,Śródmieście,,850,54,1,apartamentowiec,biuro nieruchomości
"Śródmieście ul. Krucza, 2 pok. 58 m",4 500,Śródmieście,ul. Krucza,0,58,2,blok,biuro nieruchomości
"obok Metra Natolin, ciche, ciepłe i b. spokojne",3 200,Natolin,ul. Meander,800,47,2,blok,prywatny
"Mieszkanie, 80 m², Warszawa",6 800,Wilanów,ul. Franciszka Klimczaka,1 400,80,3,apartamentowiec,biuro nieruchomości
Wynajmie kawalerkę,3 000,Śródmieście Południowe,,200,39,1,blok,prywatny
Dwupokojowe mieszkanie na Placu Bankowym,3 000,Śródmieście Północne,ul. Senatorska,0,36,2,blok,prywatny
"Mieszkanie 2 pokoje, 56 m2, z własnym ogródkiem",3 400,Bemowo,,1 000,56,2,apartamentowiec,prywatny
2 pokojowy apartament | ul. Złota 83,4 700,Śródmieście,ul. Złota,1 200,"39,35",2,apartamentowiec,deweloper
"Żeromskiego, super 2 pok., 36 m2",3 200,Bielany,ul. Stefana Żeromskiego,0,36,2,Zapytaj,biuro nieruchomości
"Świetna lokalizacja Centrum 64 m2, 3 p + parking",5 800,Śródmieście,,600,64,3,kamienica,prywatny
66m2 | 3 pokoje | Balkon | Garaż,4 500,Mokotów,ul. Bluszczańska,883,"66,14",3,blok,biuro nieruchomości
Mieszkanie dla singla lub pary blisko Centrum,7 500,Wola,al. Aleja Jana Pawła II 61,1 200,83,3,blok,biuro nieruchomości
Kawalerka - dostępna od JUŻ. ul. Cybernetyki 15,2 400,Mokotów,ul. Cybernetyki,350,20,1,apartamentowiec,biuro nieruchomości
"Mieszkanie, 46 m², Warszawa",3 500,Wola,,0,46,2,apartamentowiec,biuro nieruchomości
"wynajmę 38m, Mokotów, okolice Metra Racławicka",3 200,Górny Mokotów,,0,38,1,blok,prywatny
Wynajem na mieszkanie lub biuro_Mokotów Plac Unii,4 800,Mokotów,,0,80,3,kamienica,prywatny
Rezerwacja do 15.03 Kawalerka na Belwederskiej,2 000,Dolny Mokotów,Belwedrska,470,25,1,kamienica,prywatny
Mieszkanie do Wynajęcia Rembertów,2 800,Stary Rembertów,,500,45,2,blok,prywatny
"3 pokoje, po remoncie. Obok British School",7 500,Sadyba,ul. Konstancińska,785,75,3,blok,prywatny
"Mieszkanie po remoncie, dwa pokoje, dobry rozkład",2 400,Ursus,ul. Kolorowa,590,34,2,blok,prywatny
wynajmę 2 pokojowe mieszkanie,2 900,Jelonki,ul. Powstańców Śląskich,880,49,2,apartamentowiec,prywatny
Dwupokojowe mieszkanie premium przy metrze Kabaty,2 600,Ursynów,ul. Stryjeńskich,603,28,2,blok,prywatny
"3 pokoje, Miasteczko Wilanów, Branickiego 18",4 900,Wilanów,ul. Adama Branickiego,900,64,3,apartamentowiec,prywatny
Piękne 2 pokoje na bliskiej Woli,6 000,Czyste,ul. Siedmiogrodzka,800,"56,21",2,apartamentowiec,biuro nieruchomości
"2-pokojowe, 42 m2, ul. Herbu Oksza 21",3 100,Ursus,ul. Herbu Oksza 21,590,"41,9",2,apartamentowiec,prywatny
Bardzo komfortowe mieszkanie na Wiślanym Mokotowie,4 200,Siekierki,ul. Bluszczańska,700,"59,23",2,apartamentowiec,prywatny
Wynajmę kawalerkę,2 500,Ursus,ul. Posag 7 Panien,0,30,1,blok,prywatny
Kawalerka wysoki standard Marymoncka 35,3 000,Stare Bielany,ul. Marymoncka 35,500,27,1,blok,prywatny
Wynajem 39m2 po remoncie Dolny Mokotów,2 800,Dolny Mokotów,,300,39,2,blok,prywatny
wynajmę mieszkanie,2 850,Kabaty,ul. Jerzego Zaruby,1 150,53,2,blok,prywatny
3 pokoje w doskonałej lokalizacji!,4 000,Mirów,ul. Waliców,800,48,3,blok,biuro nieruchomości
Bezpośrednio NOWE 2 pok z garażem i balkonem,3 000,Białołęka,ul. Życzliwa,720,39,2,apartamentowiec,prywatny
"2-pokojowe mieszkanie na wynajem, Ochota",3 600,Ochota,al. Aleja Bohaterów Września,0,39,2,blok,prywatny
"Mieszkanie Wawer 50 m kw 3 pok. parking, Płowiecka",2 800,Wawer,ul. Błękitna,800,50,3,kamienica,prywatny
Urządzone z dbałością o detale i komfortowe M1,2 750,Żoliborz,ul. Kłopot,250,22,1,blok,biuro nieruchomości
kawalerka ul. Szczęsna Warszawa Włochy,2 200,Stare Włochy,,530,26,1,blok,prywatny
Apartament w Centrum 3 -pokoje 91 m2,7 000,Śródmieście,ul. Bracka,0,"91,12",3,kamienica,biuro nieruchomości
** Apartament z tarasem (60m2) ** Osiedle Marina,14 000,Mokotów,ul. Rejsu,1 700,140,4,apartamentowiec,biuro nieruchomości
Przestronny apartament z sauną i dużym tarasem,10 000,Ursynów,al. Aleja Komisji Edukacji Narodowej,800,80,3,Zapytaj,biuro nieruchomości
Przestronny Apartament Na Warszawskim Mokotowie,9 990,Mokotów,ul. Puławska,0,128,5,Zapytaj,biuro nieruchomości
WYNAJME - Mieszkanie-Górny Mokotow-Kazimierzowska,2 500,Górny Mokotów,,600,33,2,kamienica,prywatny
"BEAUTIFUL, NEW & QUIET studio, pets friendly",2 390,Mokotów,ul. Konstruktorska,470,30,1,apartamentowiec,biuro nieruchomości
"Mieszkanie - Warszawa, Praga-Południe",4 500,Praga-Południe,ul. Stanisława Rogalskiego,0,33,2,Zapytaj,biuro nieruchomości
Piękne mieszkanie miasteczko Wilanów Branickiego,4 200,Wilanów,ul. Adama Branickiego 11,0,51,2,apartamentowiec,prywatny
Blisko metra bdb dla singla lub pary,3 300,Bemowo,ul. Wrocławska,0,50,2,blok,biuro nieruchomości
3 Pokoje | Ścisłe Powiśle | Kameralna lokalizacja,4 000,Powiśle,ul. Radna,0,70,3,blok,biuro nieruchomości
Mieszkanie z widokiem na PkiN,4 400,Śródmieście,ul. Zgoda,0,39,2,blok,biuro nieruchomości
Mokotów | 43 m2 | Duży balkon | Garaż,3 850,Mokotów,ul. Cybernetyki,0,"44,76",2,apartamentowiec,biuro nieruchomości
2 pokoje w kamienicy w Śródmieściu,6 000,Śródmieście,ul. Wspólna,1 080,"76,59",2,kamienica,biuro nieruchomości
Mieszkanie Z Ogródkiem,7 500,Zawady,ul. Syta,0,85,3,apartamentowiec,biuro nieruchomości
Mieszkanie w kameralnej Willi | 126 m2 |,12 000,Saska Kępa,,0,120,4,kamienica,biuro nieruchomości
Mieszkanie 52m2 Jaśminowy Mokotów,5 200,Stegny,,711,52,2,Zapytaj,prywatny
Wynajem apartamentu z widokiem na stolicę,5 000,Żoliborz,ul. Sybilli,930,"60,82",2,blok,biuro nieruchomości
"Mieszkanie, 180 m², Warszawa",16 000,Mokotów,,0,180,4,Zapytaj,biuro nieruchomości
"Mieszkanie 55m2, 3 pok., Kłopotowskiego, Praga-Płn",3 500,Praga-Północ,ul. ks. Ignacego Kłopotowskiego,630,55,3,kamienica,prywatny
"Kawalerka, 27m2, Kłopotowskiego, Praga-Płn.",2 700,Praga-Północ,ul. ks. Ignacego Kłopotowskiego,330,27,1,kamienica,prywatny
"Przestronne, słoneczne mieszkanie na Mokotowie",6 500,Mokotów,,800,"89,4",3,apartamentowiec,biuro nieruchomości
Do wynajęcia 2 pokoje Młociny,4 800,Młociny,,0,47,2,apartamentowiec,biuro nieruchomości
Czynsz z zaliczkami na media w cenie!!!,3 200,Wola,ul. Eustachego Tyszkiewicza,0,45,2,Zapytaj,biuro nieruchomości
Mieszkanie Powiśle! Dwa pokoje!,3 700,Śródmieście,ul. Koźmińska,0,45,2,blok,prywatny
Wynajmę mieszkanie 2 pok. 55m2 Ken 36,3 700,Natolin,al. Aleja Komisji Edukacji Narodowej,1,55,2,apartamentowiec,biuro nieruchomości
"NOWE, Lux, klimatyzacja, Internet 300 Mb/s Faktura",3 900,Stare Włochy,ul. Potrzebna 4a,500,62,3,kamienica,prywatny
Przytulne 2 pokoje/ teren ogrodzony,2 999,Saska Kępa,,0,"37,14",2,kamienica,biuro nieruchomości
Mieszkanie na nowej Pradze,2 800,Nowa Praga,ul. Targowa,600,55,2,kamienica,prywatny
"Ciche, garaż, po remoncie, dobra komunikacja.",6 500,Wola,ul. Jaktorowska,0,85,3,apartamentowiec,biuro nieruchomości
Kawalerka blisko metra,2 600,Górny Mokotów,ul. Mahatmy Gandhiego,0,36,1,blok,prywatny
Wynajmę bezpośrednio 94-metrowe mieszkanie,9 000,Wilanów,ul. Bruzdowa,0,"94,17",3,apartamentowiec,prywatny
"Mokotów , 2 pok. 60 m garaż",5 000,Mokotów,,1 000,60,2,apartamentowiec,biuro nieruchomości
"Mokotów, Metro Wilanowska, 3 niezależne pokoje",3 700,Górny Mokotów,ul. Cieszyńska,0,58,3,blok,biuro nieruchomości
Nowe Trzy Pokoje dla rodziny w spojnej okolicy,4 200,Mokotów,ul. Bobrowiecka,670,60,3,apartamentowiec,biuro nieruchomości
"2 Pokoje,Pierwszy Najemca,Zupełnie Nowe",3 200,Ochota,ul. Lirowa,450,42,2,Zapytaj,biuro nieruchomości
Mieszkanie dwupokojowe do wynajęcia na Mokotowie,3 800,Mokotów,ul. Obrzeżna,0,60,2,apartamentowiec,biuro nieruchomości
Mieszkanie 2-pokojowe blisko metra - nowe,3 200,Praga-Północ,,780,43,2,blok,prywatny
"3 pokoje, garaż, Mokotów, Wyścigi, aleja Wyścigowa",4 000,Mokotów,al. Aleja Wyścigowa,850,61,3,apartamentowiec,prywatny
Wynajme mieszkanie,3 900,Mokotów,,1 296,68,3,blok,prywatny
"2 pokoje w rezydencji Arteco - recepcja, siłownia",3 500,Żoliborz,ul. Jasnodworska,620,41,2,apartamentowiec,biuro nieruchomości
Komfortowe* infrastruktura miejska *Centrum 15 min,2 900,Praga-Południe,ul. Janusza Meissnera,620,55,2,Zapytaj,biuro nieruchomości
Mieszkanie z klimatyzacją i słonecznym tarasem.,4 000,Gocław,ul. Ostrobramska,0,55,3,apartamentowiec,biuro nieruchomości
"Mokotów ul. Cybernetyki , 4 pok. 75,17 m garaż",7 700,Mokotów,ul. Cybernetyki,900,"75,17",4,blok,biuro nieruchomości
"Mokotów Al. Niepodległości , 5 pok.105 m kamienica",6 500,Mokotów,al. Aleja Niepodległości,0,105,5,kamienica,biuro nieruchomości
"Nowe, słoneczne 2 pokoje z garażem na Mokotowie.",3 000,Stegny,ul. Śródziemnomorska,0,"41,67",2,apartamentowiec,biuro nieruchomości
"Wola Skwer Kardynała Wyszyńskiego, 3 pok. 108,3 m",6 000,Wola,skwer Skwer kard. Stefana Wyszyńskiego,"1 164,65","108,3",3,blok,biuro nieruchomości
2 pokojowe mieszkanie/ Fort Bema/ park,2 800,Bemowo,ul. Księcia Bolesława,650,47,2,apartamentowiec,biuro nieruchomości
"Śródmieście Skwer Kardynała Wyszyńskiego, 108 m",6 000,Śródmieście,skwer Skwer kard. Stefana Wyszyńskiego,"1 164,65","108,3",3,blok,biuro nieruchomości
"Śródmieście Skwer Kardynała Wyszyńskiego, 50 m",3 500,Śródmieście,skwer Skwer kard. Stefana Wyszyńskiego,"714,78",50,2,blok,biuro nieruchomości
"Wola ul. Ordona , 2 pok. 45 m garaż",4 500,Wola,ul. Juliusza Ordona,0,45,2,blok,biuro nieruchomości
Śródmieście - Emilii Plater - Dwa Pokoje,3 000,Śródmieście,ul. Emilii Plater,0,37,2,blok,biuro nieruchomości
"Rakowiec ul. Gorlicka róg Mołdawskiej , 2 pok.46 m",3 700,Rakowiec,ul. Gorlicka,550,46,2,blok,biuro nieruchomości
118 m2 | 2 Sypialnie | Muranów,6 000,Śródmieście,ul. Zygmunta Słomińskiego,0,118,3,apartamentowiec,biuro nieruchomości
"Nowe, komfortowe studio z osobną sypialnią - 5p",3 022,Szmulowizna,ul. Radzymińska 28,562,31,1,apartamentowiec,prywatny
"Włochy ul. Światowa , 2 pok. 38,03 m parking",3 200,Włochy,ul. Światowa,0,"38,03",2,dom wolnostojący,biuro nieruchomości
"Włochy ul. Światowa , 3 pok. 48 m parking naziemny",3 800,Włochy,ul. Światowa,0,48,3,dom wolnostojący,biuro nieruchomości
"Ursynów ul. Dembego , 2 pok. 60 m",3 400,Ursynów,ul. Stefana Dembego,0,60,2,blok,biuro nieruchomości
"Kabaty ul. Dembego , 2 pok. 60 m",3 400,Kabaty,ul. Stefana Dembego,0,60,2,blok,biuro nieruchomości
"Śródmieście Al. Jana Pawła II , 2 pok. 44 m",3 500,Śródmieście,,0,44,2,blok,biuro nieruchomości
Nowe mieszkanie do wynajęcia przy Trakcie Lubelski,3 800,Zerzeń,ul. Trakt Lubelski,730,"60,25",3,apartamentowiec,biuro nieruchomości
"Rembertów 44m2,2pok,nowe,balkon,garaż",2 600,Stary Rembertów,"al. Aleja gen. Antoniego Chruściela ""Montera""",600,44,2,blok,prywatny
NIE AKTUALNE !!! JUŻ W Y N A J Ę T E !!!!!,2 700,Stara Praga,ul. Jagiellońska 12,800,45,2,kamienica,prywatny
"✅Przestronne mieszkanie, 2 łazienki, garaż✅",3 000,Białołęka,ul. Christa Botewa,590,66,2,blok,biuro nieruchomości
Galeria Mokotów | Apartamentowiec | Aktualne,2 499,Mokotów,ul. Postępu,0,27,1,apartamentowiec,biuro nieruchomości
Idealne mieszkanie dla rodziny 2+1,7 500,Wilanów,ul. Sarmacka,1 300,80,3,apartamentowiec,biuro nieruchomości
"Przytulne 3-pokojowe, 50m2, Marysin Wawerski",3 000,Marysin Wawerski,ul. Korkowa,800,50,3,blok,prywatny
Przytulna kawalerka dla pary wolna od 1 kwietnia,2 249,Stare Włochy,ul. Łamana,249,29,1,dom wolnostojący,prywatny
Przestronny apartament 98mkw Rezydencja Warecka,11 500,Śródmieście,ul. Krzysztofa Kamila Baczyńskiego,0,98,3,apartamentowiec,biuro nieruchomości
"Kawalerka, Główna 16",2 600,Białołęka,ul. Główna,200,26,1,kamienica,biuro nieruchomości
Mieszkanie z klimatyzacją i garażem podziemnym,4 000,Szczęśliwice,ul. Włodarzewska,650,48,2,apartamentowiec,prywatny
2 pokoje wysoki standard,3 600,ul. Dywizjonu 303 303,,730,58,2,blok,biuro nieruchomości
Nowoczesne Przestronne 2 pok.=>Wilanów Kazachska 5,2 700,Wilanów,,830,45,2,apartamentowiec,biuro nieruchomości
"NOWE mieszkanie 45m2, klimatyzacja, garaż, komórka",3 800,Stare Włochy,ul. Budki Szczęśliwickie,550,45,2,blok,prywatny
"Mokotów, 2 pok, nowy apartament, lux, f-ra",3 500,Dolny Mokotów,ul. Bartycka,523,48,2,apartamentowiec,biuro nieruchomości
"Nowe, luksusowe mieszkanie NOVA OCHOTA",3 500,ul. Łopuszańska 55a,,0,30,1,blok,prywatny
Kawalerka wysoki standard Marymoncka 35,3 000,Stare Bielany,ul. Marymoncka 35,500,27,1,blok,prywatny
"Mieszkanie 35m2, Chomiczówka, blisko metro Młociny",2 500,Stare Bielany,ul. Josepha Conrada,500,35,2,blok,prywatny
"3300 zł - 2 pokoje, klimatyzacja- URSUS, Ryżowa",3 300,Ursus,ul. Ryżowa 48,0,35,2,blok,prywatny
Mokotów- 40m2 - 2 pokoje - wolne- W.Standard-Garaż,4 500,Mokotów,ul. Smyczkowa,100,40,2,apartamentowiec,biuro nieruchomości
185 m2 | Nieumeblowane | Apartament na Saskiej,13 000,Saska Kępa,ul. Czeska,0,185,4,apartamentowiec,biuro nieruchomości
"Mieszkanie 90m2, 3 pokoje, winda",4 000,Targówek,ul. św. Wincentego 14,0,"90,62",3,blok,prywatny
"W pobliżu tramwaje,parki,centr handlowy.10m. Centr",3 600,Praga-Południe,ul. Kinowa,600,61,3,Zapytaj,biuro nieruchomości
Centrum 3 pokoje 64 m Parking Bezpośrednio od 1.03,5 800,Śródmieście Północne,,600,64,3,kamienica,prywatny
2 pokoje po remoncie od zaraz Żerań!,3 000,Białołęka,ul. Szczupacza,500,43,2,blok,biuro nieruchomości
Po Remocie Idealnie Wykończone i Wyposażone 2 Pok,3 000,Gocław,ul. Jana Nagórskiego,0,43,2,Zapytaj,biuro nieruchomości
"2 pokoje, miejsce parkingowe!",2 500,Białołęka,ul. Aluzyjna,500,47,2,blok,biuro nieruchomości
1500 zł samodzielne mieszkanie,1 500,Okęcie,ul. Lechicka,1,16,1,kamienica,prywatny
Kawalerka przy stacji metra Szwedzka,2 300,Praga-Północ,ul. Równa,650,26,1,Zapytaj,biuro nieruchomości
"3 Pokoje, Po Remoncie, Skorosze, Garaż",3 500,Skorosze,,850,"68,5",3,apartamentowiec,biuro nieruchomości
Kawalerka / 15 minut do Centrum / Blisko 4 Parków,2 000,Wola,ul. Pustola,0,17,1,blok,prywatny
"Nowe, słoneczne 2 pokoje z loggią - 5 piętro",3 341,Stara Praga,ul. Radzymińska 30,691,"39,77",2,apartamentowiec,prywatny
✅2 pokoje z miejscem w garażu✅,2 200,Białołęka,ul. Strumykowa,700,40,2,blok,biuro nieruchomości
APART. DWUPOZIOMOWY 160m2 Saska Kępa UL. Libijska,8 500,Saska Kępa,ul. Libijska,0,160,6,apartamentowiec,biuro nieruchomości
Wynajmę 4 pokoje ul. Koszykowa 10,8 500,Śródmieście,ul. Koszykowa,0,96,3,kamienica,biuro nieruchomości
Wyjątkowy apartament w biznesowej części Mokotowa,3 800,Mokotów,ul. Konstruktorska,700,48,2,apartamentowiec,biuro nieruchomości
"Przestronne, ciche, z ogródkiem, blisko Pl. Vogla",7 000,Zawady,ul. Syta,0,85,3,Zapytaj,biuro nieruchomości
"Jasne i ciche, z dużym tarasem, blisko Pl. Vogla",9 200,Zawady,ul. Bruzdowa,0,83,3,Zapytaj,biuro nieruchomości
"Nowoczesny Apartament WIEŻOWIEC ""BLISKA WOLA""",3 000,Wola,ul. Marcina Kasprzaka,0,20,1,apartamentowiec,prywatny
3 pokojowy apartament | ul. Złota 83,10 600,Śródmieście,ul. Złota,1 900,"73,82",3,apartamentowiec,deweloper
